mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom,id
gdb_77789,NC1C2C(=N)OC12C#N,2.66484,1.45272,1.10417,2.5397,71.03,-0.2577,-0.0284,0.2293,1070.6731,0.101109,-432.833345,-432.825416,-432.824472,-432.86595,29.405,-1431.949182622,-1439.416539722,-1447.120467715,-1335.657299063,777
gdb_77790,NC1C2C(=O)OC12C#N,2.66767,1.46038,1.10706,3.3543,65.66,-0.2683,-0.041,0.2273,1049.8547,0.089028,-452.735356,-452.727596,-452.726652,-452.767858,28.389,-1382.7311417161,-1389.415995093,-1396.526927081,-1293.112188863,777
gdb_77791,OC1C2C(=N)NC12C#N,2.90553,1.37772,1.10135,3.4781,70.15,-0.2665,-0.0244,0.2421,1069.0884,0.101022,-432.834744,-432.826799,-432.825855,-432.867335,29.473,-1432.827067713,-1440.284384669,-1447.988312662,-1336.5263990281,777
gdb_77792,OC1C2C(=N)OC12C#C,2.66593,1.45872,1.11511,2.2333,72.52,-0.2579,-0.0141,0.2438,1071.1604,0.098865,-436.609826,-436.601856,-436.600911,-436.64225,30.454,-1452.56410829,-1460.00636503,-1467.709665514,-1356.5188357681,777
gdb_77793,OC1C2C(=N)OC12C#N,2.66782,1.46574,1.11904,1.8702,66.68,-0.2835,-0.0366,0.2469,1045.6073,0.08844,-452.710693,-452.703063,-452.702119,-452.742962,28.422,-1367.254887249,-1374.021316796,-1381.132248784,-1277.489724799,777
gdb_77794,OC1C2C(=O)CC12C#C,2.68629,1.36745,1.07959,2.6261,74.9,-0.2481,-0.0247,0.2234,1108.6332,0.110157,-420.576747,-420.56844,-420.567496,-420.609552,31.585,-1580.4109094231,-1588.530875883,-1596.827799881,-1478.2273438631,777
gdb_77795,OC1C2C(=O)CC12C#N,2.72291,1.36712,1.08546,3.1302,68.74,-0.2667,-0.0438,0.2229,1080.8604,0.099931,-436.681239,-436.673319,-436.672375,-436.713838,29.398,-1497.3764085071,-1504.850040697,-1512.55396869,-1401.4409500601,777
gdb_77796,OC1C2C(=O)NC12C#C,2.92644,1.37197,1.09624,3.1268,70.54,-0.2493,-0.0134,0.2359,1075.9968,0.099112,-436.63322,-436.625095,-436.624151,-436.66578,30.701,-1467.2440538361,-1474.589046681,-1482.292974674,-1371.284122538,777
gdb_77797,OC1C2C(=O)OC12C#C,2.7315,1.45599,1.11463,4.5138,67.06,-0.2663,-0.0217,0.2446,1051.7468,0.086569,-456.509926,-456.501979,-456.501035,-456.542434,29.584,-1402.1468976851,-1408.715034388,-1415.825966376,-1312.891900052,777
gdb_77798,CC1C2C(=N)OC12C=O,2.38512,1.50897,1.11054,3.527,73.59,-0.2627,-0.0458,0.217,1110.599,0.122576,-437.866473,-437.85817,-437.857226,-437.899574,30.55,-1613.269790699,-1622.28019243,-1631.1701124331,-1504.278379998,777
gdb_77799,CC1C2C(=O)CC12C=O,2.34197,1.41819,1.06207,3.4784,75.72,-0.2546,-0.0481,0.2065,1154.0318,0.134067,-421.83299,-421.824483,-421.823539,-421.86633,31.466,-1740.8630781961,-1750.634648344,-1760.117564352,-1625.644268179,777
